Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Princess Principal: Crown Handler Movie 1,2021,7.54,Finished,1,"['Action', 'Mystery']",Original
Odd Taxi Movie: In the Woods,2022,6.28,Finished,1,"['Drama', 'Mystery', 'Suspense']",Source
Madlax,2004,7.02,Finished,26,"['Drama', 'Mystery', 'Supernatural']",Original
Meitantei Conan Movie 20: Junkoku no Nightmare,2016,8.17,Finished,1,"['Action', 'Mystery']",Manga
Tactics,2004,7.19,Finished,25,"['Mystery', 'Supernatural']",Manga
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",2018,7.16,Finished,23,"['Comedy', 'Drama', 'Mystery']",Game
Yojouhan Time Machine Blues,2022,8.19,Finished,6,"['Comedy', 'Mystery', 'Romance', 'Suspense']",Novel
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,2005,8.07,Finished,1,"['Action', 'Mystery', 'Sci-Fi', 'Suspense']",Manga
Black Jack,1993,7.73,Finished,12,"['Drama', 'Mystery', 'Suspense']",Manga
Kuroshitsuji Recap,2009,7.19,Finished,1,"['Action', 'Comedy', 'Mystery', 'Supernatural']",Manga
Meitantei Conan Movie 19: Gouka no Himawari,2015,7.72,Finished,1,"['Action', 'Mystery']",Manga
Towa no Quon 2: Konton no Ranbu,2011,7.31,Finished,1,"['Action', 'Mystery', 'Sci-Fi', 'Supernatural']",Original
Spy Kyoushitsu 2nd Season,2023,7.16,Finished,12,"['Action', 'Fantasy', 'Mystery']",Light novel
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,2003,7.08,Finished,13,"['Horror', 'Mystery', 'Supernatural']",Novel
Meitantei Conan Movie 17: Zekkai no Private Eye,2013,7.67,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Matantei Loki Ragnarok,2003,7.25,Finished,26,"['Comedy', 'Mystery', 'Supernatural']",Manga
Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin,2021,7.57,Finished,1,"['Drama', 'Mystery', 'Supernatural', 'Suspense']",Original
X/1999,1996,6.57,Finished,1,"['Action', 'Drama', 'Fantasy', 'Mystery']",Manga
Yuukoku no Moriarty OVA,2022,7.77,Finished,2,"['Mystery', 'Suspense']",Manga
Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,2007,7.19,Finished,12,"['Action', 'Drama', 'Horror', 'Mystery']",Source
Un-Go: Inga-ron,2011,7.53,Finished,1,"['Mystery', 'Supernatural']",Novel
Kidou Keisatsu Patlabor 2 the Movie,1993,7.98,Finished,1,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']",Original
Double Decker! Doug & Kirill,2018,6.81,Finished,13,"['Action', 'Comedy', 'Mystery', 'Sci-Fi']",Original
"Tantei wa Mou, Shindeiru. Season 2",0,0,Not yet aired,?,"['Comedy', 'Mystery', 'Romance']",Light novel
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,2013,7.24,Finished,25,"['Action', 'Mystery', 'Suspense']",Original
Concrete Revolutio: Choujin Gensou - The Last Song,2016,6.98,Finished,11,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Original
Lupin III vs. Meitantei Conan,2009,7.76,Finished,1,"['Action', 'Adventure', 'Comedy', 'Mystery']",Manga
Boku dake ga Inai Machi Recaps,2016,7.25,Finished,2,['Mystery'],Manga
Vassalord.,2013,6.77,Finished,1,"['Action', 'Boys Love', 'Fantasy', 'Mystery']",Manga
Tantei Gakuen Q,2003,7.73,Finished,45,"['Comedy', 'Drama', 'Mystery']",Manga
Lupin III: Part II,1977,7.77,Finished,155,"['Action', 'Adventure', 'Comedy', 'Mystery']",Manga
Nijuu Mensou no Musume,2008,7.55,Finished,22,"['Action', 'Adventure', 'Mystery']",Source
Higashi no Eden: Air Communication,2009,7.56,Finished,1,"['Mystery', 'Romance', 'Sci-Fi', 'Suspense']",Original
Fantastic Children,2004,7.54,Finished,26,"['Adventure', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense']",Original
